지역,이름,주소,위도,경도
안성시,안성맞춤박물관,경기도 안성시 대덕면 서동대로 4726-15,37.01131789,127.2283559
안양시,안양박물관,경기도 안양시 만안구 예술공원로103번길 4,37.41838562,126.9183147
양주시,양주시립회암사지박물관,경기도 양주시 회암사길 11,37.841204,127.1029809
여주시,여주박물관,경기도 여주시 신륵사길 6-12,37.29965313,127.6533791
여주시,여주시립폰박물관,경기도 여주시 강변유원지길 105,37.29306214,127.666904
용인시,용인시박물관,경기도 용인시 기흥구 동백3로 79,37.27389677,127.157171
안양시,김중업건축박물관,경기도 안양시 만안구 예술공원로103번길 4,37.41838562,126.9183147
남양주시,남양주시립박물관,경기도 남양주시 와부읍 팔당로 121,37.54638614,127.2443744
여주시,명성황후기념관,경기도 여주시 명성로 71,37.25967518,127.6554281
부천시,부천시립박물관,경기도 부천시 소사로 638,37.51364095,126.8017452
부천시,부천자연생태박물관,경기도 부천시 길주로 660,37.505169,126.8156874
부천시,부천펄벅기념관,경기도 부천시 성주로214번길 61,37.475502,126.781706
고양시,고양어린이박물관,경기도 고양시 덕양구 화중로 26,37.62948069,126.8309509
고양시,아람미술관,경기도 고양시 일산동구 중앙로 1286,37.66148641,126.7744561
고양시,고양가와지볍씨박물관,경기도 고양시 덕양구 고양대로 1695,37.6497779,126.870086
용인시,경기도어린이박물관,경기도 용인시 기흥구 상갈로 6,37.2681702,127.1088507
광주시,경기도자박물관,경기도 광주시 곤지암읍 경충대로 727,37.35028278,127.3347855
동두천시,경기북부어린이박물관,경기도 동두천시 평화로2910번길 46,37.94467141,127.064431
구리시,고구려대장간마을,경기도 구리시 우미내길 41,37.56080787,127.1109492
고양시,고양어린이박물관,경기도 고양시 덕양구 화중로 26,37.62948078,126.8309491
과천시,과천시 추사박물관,경기도 과천시 추사로 78,37.45300477,127.0287251
남양주시,프라움악기박물관,경기도 남양주시 와부읍 경강로 756,37.56850845,127.227033
파주시,피노지움,경기도 파주시 회동길 152,37.708961,126.6875628
포천시,한과문화박물관,경기도 포천시 영북면 산정호수로322번길 26-9,38.0683561,127.3037294
이천시,한국기독교역사박물관,경기도 이천시 대월면 대평로214번길 10-13,37.22281443,127.499211
